date,rba_rate,fed_rate
1/3/2002,4.25,1.73
1/4/2002,4.25,1.753
1/5/2002,4.445652174,1.751290323
1/6/2002,4.723684211,1.750333333
1/7/2002,4.75,1.729032258
1/8/2002,4.75,1.743225806
1/9/2002,4.75,1.750666667
1/10/2002,4.75,1.75483871
1/11/2002,4.75,1.336
1/12/2002,4.75,1.238387097
1/1/2003,4.75,1.23516129
1/2/2003,4.75,1.262142857
1/3/2003,4.75,1.252903226
1/4/2003,4.75,1.258
1/5/2003,4.75,1.259032258
1/6/2003,4.75,1.222666667
1/7/2003,4.75,1.011290323
1/8/2003,4.75,1.029032258
1/9/2003,4.75,1.01
1/10/2003,4.75,1.01
1/11/2003,4.975,0.996
1/12/2003,5.226190476,0.984193548
1/1/2004,5.25,0.997096774
1/2/2004,5.25,1.007241379
1/3/2004,5.25,1.001612903
1/4/2004,5.25,1.004
1/5/2004,5.25,1.004516129
1/6/2004,5.25,1.025666667
1/7/2004,5.25,1.263548387
1/8/2004,5.25,1.429354839
1/9/2004,5.25,1.605
1/10/2004,5.25,1.760967742
1/11/2004,5.25,1.932
1/12/2004,5.25,2.156129032
1/1/2005,5.25,2.279354839
1/2/2005,5.25,2.501785714
1/3/2005,5.488095238,2.629032258
1/4/2005,5.5,2.785
1/5/2005,5.5,3.002580645
1/6/2005,5.5,3.035666667
1/7/2005,5.5,3.262580645
1/8/2005,5.5,3.499677419
1/9/2005,5.5,3.623
1/10/2005,5.5,3.779354839
1/11/2005,5.5,3.999
1/12/2005,5.5,4.157096774
1/1/2006,5.5,4.28516129
1/2/2006,5.5,4.491428571
1/3/2006,5.5,4.589354839
1/4/2006,5.5,4.790333333
1/5/2006,5.72826087,4.940322581
1/6/2006,5.75,4.991
1/7/2006,5.75,5.23516129
1/8/2006,5.989130435,5.246451613
1/9/2006,6,5.254666667
1/10/2006,6,5.24516129
1/11/2006,6.193181818,5.245666667
1/12/2006,6.25,5.238064516
1/1/2007,6.25,5.248387097
1/2/2007,6.25,5.258928571
1/3/2007,6.25,5.256774194
1/4/2007,6.25,5.249666667
1/5/2007,6.25,5.253548387
1/6/2007,6.25,5.254
1/7/2007,6.25,5.258387097
1/8/2007,6.454545455,5.022258065
1/9/2007,6.5,4.938
1/10/2007,6.5,4.755483871
1/11/2007,6.704088102,4.486666667
1/12/2007,6.748922534,4.244516129
1/1/2008,6.749830281,3.940322581
1/2/2008,6.964270115,2.980689655
1/3/2008,7.223723937,2.610322581
1/4/2008,7.249712261,2.278333333
1/5/2008,7.249974472,1.978387097
1/6/2008,7.249987416,2.001
1/7/2008,7.250016754,2.009677419
1/8/2008,7.250002025,1.996451613
1/9/2008,7.022727273,1.811666667
1/10/2008,6.181818182,0.969354839
1/11/2008,5.325163292,0.387666667
1/12/2008,4.345261212,0.15516129
1/1/2009,4.250000543,0.154193548
1/2/2009,3.35,0.222142857
1/3/2009,3.249978572,0.180645161
1/4/2009,3.062570782,0.150333333
1/5/2009,3,0.177419355
1/6/2009,3.000062069,0.206333333
1/7/2009,3,0.155806452
1/8/2009,3,0.160322581
1/9/2009,3,0.146666667
1/10/2009,3.214285714,0.118064516
1/11/2009,3.476190476,0.119
1/12/2009,3.738095238,0.118064516
1/1/2010,3.75,0.11
1/2/2010,3.75,0.126428571
1/3/2010,3.9775,0.164516129
1/4/2010,4.2225,0.198333333
1/5/2010,4.475,0.200645161
1/6/2010,4.5,0.176666667
1/7/2010,4.5,0.182580645
1/8/2010,4.5,0.189354839
1/9/2010,4.5,0.194666667
1/10/2010,4.5,0.191290323
1/11/2010,4.7275,0.194333333
1/12/2010,4.75,0.183225806
1/1/2011,4.75,0.168387097
1/2/2011,4.75,0.156785714
1/3/2011,4.75,0.138709677
1/4/2011,4.75,0.098
1/5/2011,4.75,0.093870968
1/6/2011,4.75,0.092
1/7/2011,4.75,0.070967742
1/8/2011,4.75,0.095806452
1/9/2011,4.75,0.084
1/10/2011,4.75,0.070645161
1/11/2011,4.5125,0.081
1/12/2011,4.3,0.071612903
1/1/2012,4.25,0.081935484
1/2/2012,4.25,0.103793103
1/3/2012,4.25,0.126774194
1/4/2012,4.25,0.139333333
1/5/2012,3.7725,0.155806452
1/6/2012,3.5375,0.161666667
1/7/2012,3.5,0.156451613
1/8/2012,3.5,0.132258065
1/9/2012,3.5,0.144333333
1/10/2012,3.2725,0.158387097
1/11/2012,3.25,0.160666667
1/12/2012,3.0275,0.164516129
1/1/2013,3,0.142580645
1/2/2013,3,0.145
1/3/2013,3,0.143548387
1/4/2013,3,0.145
1/5/2013,2.8,0.109032258
1/6/2013,2.75,0.093666667
1/7/2013,2.75,0.092580645
1/8/2013,2.55,0.082903226
1/9/2013,2.5,0.08
1/10/2013,2.5,0.087096774
1/11/2013,2.5,0.084333333
1/12/2013,2.5,0.08516129
1/1/2014,2.5,0.071612903
1/2/2014,2.5,0.066428571
1/3/2014,2.5,0.078064516
1/4/2014,2.5,0.090333333
1/5/2014,2.5,0.087096774
1/6/2014,2.5,0.095666667
1/7/2014,2.5,0.090967742
1/8/2014,2.5,0.088064516
1/9/2014,2.5,0.088333333
1/10/2014,2.5,0.089032258
1/11/2014,2.5,0.092
1/12/2014,2.5,0.122580645
1/1/2015,2.5,0.11483871
1/2/2015,2.28,0.110714286
1/3/2015,2.25,0.112903226
1/4/2015,2.25,0.124666667
1/5/2015,2.04,0.123225806
1/6/2015,2,0.129
1/7/2015,2,0.130322581
1/8/2015,2,0.138064516
1/9/2015,2,0.136
1/10/2015,2,0.123548387
1/11/2015,2,0.117666667
1/12/2015,2,0.240645161
1/1/2016,2,0.342903226
1/2/2016,2,0.375172414
1/3/2016,2,0.362258065
1/4/2016,2,0.365333333
1/5/2016,1.77,0.36516129
1/6/2016,1.75,0.377666667
1/7/2016,1.75,0.391612903
1/8/2016,1.52,0.396774194
1/9/2016,1.5,0.396333333
1/10/2016,1.5,0.396451613
1/11/2016,1.5,0.406666667
1/12/2016,1.5,0.54
1/1/2017,1.5,0.649677419
1/2/2017,1.5,0.656785714
1/3/2017,1.5,0.786129032
1/4/2017,1.5,0.896
1/5/2017,1.5,0.907419355
1/6/2017,1.5,1.04
1/7/2017,1.5,1.150645161
1/8/2017,1.5,1.157096774
1/9/2017,1.5,1.153333333
1/10/2017,1.5,1.153870968
